Date,Time,Temp,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Speed
"Sunday, June 17, 2018",12:30 AM,33.0,36.9,22.0,52,999,2.5,11.1
"Sunday, June 17, 2018",1:00 AM,33.0,36.9,22.0,52,999,2.5,9.3
"Sunday, June 17, 2018",1:30 AM,33.0,36.9,22.0,52,999,2.5,9.3
"Sunday, June 17, 2018",2:00 AM,33.0,36.9,22.0,52,-,2.5,11.1
"Sunday, June 17, 2018",2:30 AM,33,-,26,61,997,2,11.1
"Sunday, June 17, 2018",2:30 AM,33.0,36.9,22.0,52,999,2.5,11.1
"Sunday, June 17, 2018",3:00 AM,33.0,36.9,22.0,52,999,2.5,11.1
"Sunday, June 17, 2018",3:30 AM,33.0,36.9,22.0,52,999,2.5,9.3
"Sunday, June 17, 2018",4:00 AM,33.0,37.8,23.0,55,999,2.5,7.4
"Sunday, June 17, 2018",4:30 AM,33.0,36.9,22.0,52,999,2.2,9.3
"Sunday, June 17, 2018",5:00 AM,30.0,33.2,22.0,62,1000,2.2,13.0
"Sunday, June 17, 2018",5:30 AM,29,-,25,72,999,2,18.5
"Sunday, June 17, 2018",5:30 AM,29.0,32.0,22.0,66,1000,2.2,18.5
"Sunday, June 17, 2018",6:00 AM,29.0,32.7,23.0,70,1000,2.2,9.3
"Sunday, June 17, 2018",6:30 AM,28.0,30.2,21.0,66,1001,2.2,14.8
"Sunday, June 17, 2018",7:00 AM,29.0,31.3,21.0,62,1001,2.2,14.8
"Sunday, June 17, 2018",7:30 AM,31.0,34.4,22.0,58,1001,2.5,11.1
"Sunday, June 17, 2018",8:00 AM,31.0,34.4,22.0,58,1001,2.5,11.1
"Sunday, June 17, 2018",8:30 AM,32,-,26,60,1000,2,9.3
"Sunday, June 17, 2018",8:30 AM,30.0,33.2,22.0,62,1001,2.5,9.3
"Sunday, June 17, 2018",9:00 AM,32.0,35.6,22.0,55,1002,2.5,22.2
"Sunday, June 17, 2018",9:30 AM,32.0,35.6,22.0,55,1002,2.5,14.8
"Sunday, June 17, 2018",10:00 AM,31.0,34.4,22.0,58,1003,2.5,22.2
"Sunday, June 17, 2018",11:00 AM,31.0,34.4,22.0,58,1003,2.5,20.4
"Sunday, June 17, 2018",11:30 AM,33,-,21,40,1002,2,16.7
"Sunday, June 17, 2018",11:30 AM,32.0,35.6,22.0,55,1003,2.5,16.7
"Sunday, June 17, 2018",12:00 PM,32.0,35.6,22.0,55,1003,2.5,18.5
"Sunday, June 17, 2018",12:30 PM,33.0,36.9,22.0,52,1002,2.5,20.4
"Sunday, June 17, 2018",1:00 PM,33.0,36.9,22.0,52,1002,2.5,20.4
"Sunday, June 17, 2018",1:30 PM,33.0,36.9,22.0,52,1002,2.5,20.4
"Sunday, June 17, 2018",2:00 PM,33.0,36.0,21.0,49,1001,2.8,16.7
"Sunday, June 17, 2018",2:30 PM,36,-,26,51,999,2,16.7
"Sunday, June 17, 2018",2:30 PM,33.0,36.0,21.0,49,1000,2.8,14.8
"Sunday, June 17, 2018",3:00 PM,34.0,36.5,20.0,44,1000,3.5,11.1
"Sunday, June 17, 2018",3:30 PM,36.0,38.8,20.0,39,1000,3.5,13.0
"Sunday, June 17, 2018",4:00 PM,37.0,40.1,20.0,37,1000,3.5,14.8
"Sunday, June 17, 2018",4:30 PM,37.0,40.1,20.0,37,1000,3.5,13.0
"Sunday, June 17, 2018",5:30 PM,36,-,26,46,998,2,18.5
"Sunday, June 17, 2018",6:00 PM,36.0,38.8,20.0,39,999,3.5,16.7
"Sunday, June 17, 2018",6:30 PM,36.0,38.8,20.0,39,999,3.5,13.0
"Sunday, June 17, 2018",7:30 PM,33.0,36.9,22.0,52,999,2.5,18.5
"Sunday, June 17, 2018",8:00 PM,32.0,35.6,22.0,55,999,2.5,9.3
"Sunday, June 17, 2018",8:30 PM,32,-,24,54,999,2,14.8
"Sunday, June 17, 2018",8:30 PM,31.0,35.4,23.0,62,1000,2.5,9.3
"Sunday, June 17, 2018",9:00 PM,31.0,35.4,23.0,62,1000,2.5,14.8
"Sunday, June 17, 2018",9:30 PM,31.0,35.4,23.0,62,1000,2.5,14.8
"Sunday, June 17, 2018",10:00 PM,31.0,35.4,23.0,62,1001,2.5,13.0
"Sunday, June 17, 2018",10:30 PM,31.0,36.4,24.0,66,1001,3.0,13.0
"Sunday, June 17, 2018",11:00 PM,31.0,34.4,22.0,58,1001,3.0,11.1
"Sunday, June 17, 2018",11:30 PM,30,-,23,59,999,2,11.1
"Sunday, June 17, 2018",11:30 PM,31.0,34.4,22.0,58,1001,3.0,11.1
